"LANG","complexityoflanguages","costoflanguages","syn_index","type","minimal"
"fl116",20,2.24306053148073,8,"Haspel-ok",1.25841546024002
"fl1160",27,2.49083235314468,10,"Haspel-ok",1.55806268353954
"fl1161",9,3.25644504748982,5,"Haspel-ok",2.02118088625627
"fl1162",15,2.65222676538844,8,"Haspel-ok",1.5989667122409
"fl1163",2,3.80228136882129,0,"Haspel-ok",0.594104254588034
"fl1164",12,2.49791840133222,3,"Haspel-ok",1.37695177485769
"fl1165",19,2.63663828618511,10,"Haspel-ok",1.64052570350839
"fl1166",7,3.1132442599559,3,"Haspel-ok",1.7460163140111
"fl1167",2,5.20156046814044,0,"Haspel-ok",1.0599878800878
"fl1168",2,5.81395348837209,0,"Haspel-ok",1.18020544384
"fl1169",3,3.05810397553517,0,"Haspel-ok",0.822913315286241
"fl117",11,2.65326277619728,7,"Haspel-ok",1.50136576686389
"fl1170",8,2.54022015241321,2,"Haspel-ok",1.24882746913564
"fl1171",17,2.66627166345727,10,"Haspel-ok",1.64495522156257
"fl1172",2,4.19287211740042,0,"Haspel-ok",0.761460250195114
"fl1173",9,3.2520325203252,2,"Haspel-ok",2.01677533128788
"fl1174",2,4.70588235294118,0,"Haspel-ok",0.933119049690862
"fl1175",1,4.77326968973747,0,"Haspel-ok",0.0128016425313128
"fl1176",13,2.10415570752236,4,"Haspel-ok",1.00951207501276
"fl1177",23,3.52043318092093,15,"Haspel-ok",2.5610478096584
"fl1178",1,4.77326968973747,0,"Haspel-ok",0.0128016425313128
"fl1179",11,2.6793688597797,7,"Haspel-ok",1.5274581389163
"fl118",8,3.1768443346276,3,"Haspel-ok",1.8841166888335
"fl1180",2,4.36046511627907,0,"Haspel-ok",0.822943989120956
"fl1181",15,1.93309348654889,5,"Haspel-ok",0.879895779170783
"fl1182",4,4.25079702444208,2,"Haspel-ok",2.34295620636772
"fl1183",10,3.690036900369,5,"Haspel-ok",2.5001541372196
"fl1184",20,2.24035248212385,11,"Haspel-ok",1.25570877914707
"fl1185",3,3.05810397553517,0,"Haspel-ok",0.822913315286241
"fl1186",14,2.81425891181989,5,"Haspel-ok",1.74187182324347
"fl1187",3,3.05810397553517,0,"Haspel-ok",0.822913315286241
"fl1188",23,3.02495588605999,12,"Haspel-ok",2.06557832761638
"fl1189",11,3.0510543087667,10,"Haspel-ok",1.89898925301033
"fl119",5,9.11854103343465,0,"Haspel-ok",4.50685809125507
"fl1190",7,2.52365930599369,1,"Haspel-ok",1.15856687090103
"fl1191",11,2.72160272160272,11,"Haspel-ok",1.56967078403104
"fl1192",12,3.67094093354067,15,"Haspel-ok",2.5495149217384
"fl1193",24,1.95869333391369,10,"Haspel-ok",1.00987761837598
"fl1194",20,2.90483049103739,10,"Haspel-ok",1.91996674909082
"fl1195",19,2.39880059970015,6,"Haspel-ok",1.40269751806402
"fl1196",6,3.74084272873695,7,"Haspel-ok",2.26792078904843
"fl1197",14,2.79687682088335,7,"Haspel-ok",1.72448978422317
"fl1198",14,2.95391886569516,13,"Haspel-ok",1.8814637732849
"fl1199",6,2.03389830508475,0,"Haspel-ok",0.572931981280213
"fl12",16,3.22104415514696,6,"Haspel-ok",2.18461154368803
"fl120",8,1.93798449612403,1,"Haspel-ok",0.647820056266765
"fl1200",7,2.7027027027027,1,"Haspel-ok",1.33696574371026
"fl1201",5,4.4709388971684,0,"Haspel-ok",2.83281422299508
"fl1202",15,3.04334226610647,9,"Haspel-ok",1.9900672213206
"fl1203",6,3.09677419354839,1,"Haspel-ok",1.62856918813277
"fl1204",10,3.18725099601594,1,"Haspel-ok",1.99780738400224
"fl1205",20,2.78896808180973,13,"Haspel-ok",1.80413104209475
"fl1206",17,2.71739130434783,10,"Haspel-ok",1.69605334957971
"fl1207",17,2.46596455175957,6,"Haspel-ok",1.44474707274151
"fl1208",9,2.83866897965621,6,"Haspel-ok",1.60392872103761
"fl1209",9,1.82232346241458,1,"Haspel-ok",0.588879038399452
"fl121",12,2.13238560639716,4,"Haspel-ok",1.01157311243837
"fl1210",7,3.90117035110533,2,"Haspel-ok",2.53096517396781
"fl1211",22,2.28028503562945,11,"Haspel-ok",1.31311697607608
"fl1212",4,4.90196078431372,0,"Haspel-ok",2.87624949854632
"fl1213",7,2.794271742927,3,"Haspel-ok",1.42821888939156
"fl1214",16,2.66051791415395,9,"Haspel-ok",1.62428204752334
"fl1215",8,3.29652216911159,4,"Haspel-ok",2.00354055084597
"fl1216",16,2.21668052091992,9,"Haspel-ok",1.18073294217081
"fl1217",16,2.37021430687691,9,"Haspel-ok",1.33414530999639
"fl1218",7,2.65957446808511,0,"Haspel-ok",1.29399563689825
