"LANG","complexityoflanguages","costoflanguages","syn_index","type"
"fl1588",2,10.2040816326531,0,"artificial"
"fl159",11,3,0,"artificial"
"fl1590",6,2.38663484486874,0,"artificial"
"fl1591",2,5.44069640914037,0,"artificial"
"fl1594",4,6.78733031674208,0,"artificial"
"fl1596",7,2.59179265658747,0,"artificial"
"fl1604",1,5.21739130434783,0,"artificial"
"fl1606",3,8.65800865800866,0,"artificial"
"fl1614",2,5.44069640914037,0,"artificial"
"fl1615",2,12.3456790123457,0,"artificial"
"fl1617",4,6.07287449392713,0,"artificial"
"fl1635",6,3.82409177820268,0,"artificial"
"fl1638",3,8.65800865800866,0,"artificial"
"fl1640",3,2.75862068965517,0,"artificial"
"fl167",7,2.14132762312634,0,"artificial"
"fl1678",2,4.70588235294118,0,"artificial"
"fl1686",6,3.82409177820268,0,"artificial"
"fl1694",3,6.81431005110733,0,"artificial"
"fl1700",5,5.87084148727984,0,"artificial"
"fl171",3,6.25978090766823,0,"artificial"
"fl1716",4,11.1731843575419,0,"artificial"
"fl1717",3,8.06451612903226,0,"artificial"
"fl1718",2,5.20156046814044,0,"artificial"
"fl1722",1,4.77326968973747,0,"artificial"
"fl1724",5,3.38983050847458,0,"artificial"
"fl1725",4,6.07287449392713,0,"artificial"
"fl1727",2,5.44069640914037,0,"artificial"
"fl1733",2,5.44069640914037,0,"artificial"
"fl1738",4,7.42942050520059,0,"artificial"
"fl174",2,4.70588235294118,0,"artificial"
"fl1741",3,11.1731843575419,0,"artificial"
"fl1751",5,5.87084148727984,0,"artificial"
"fl1757",4,11.1731843575419,0,"artificial"
"fl1769",2,3.125,0,"artificial"
"fl1796",2,8.65800865800866,0,"artificial"
"fl1829",2,10.2040816326531,0,"artificial"
"fl1834",4,4.05405405405405,0,"artificial"
"fl1835",3,5.54323725055432,0,"artificial"
"fl1838",5,2.45098039215686,0,"artificial"
"fl1839",2,6.7842605156038,0,"artificial"
"fl186",3,3.05810397553517,0,"artificial"
"fl1861",5,4.90196078431372,0,"artificial"
"fl1864",1,5.44069640914037,0,"artificial"
"fl1879",5,4.4709388971684,0,"artificial"
"fl1886",4,5.92885375494071,0,"artificial"
"fl1889",4,5.31914893617021,0,"artificial"
"fl1892",2,4.19287211740042,0,"artificial"
"fl1895",1,5.21739130434783,0,"artificial"
"fl1906",4,4.8721071863581,0,"artificial"
"fl1916",5,4.00534045393858,0,"artificial"
"fl1929",6,5.24475524475525,0,"artificial"
"fl1936",1,6.66666666666667,0,"artificial"
"fl194",3,11.1731843575419,0,"artificial"
"fl1944",4,6.13496932515337,0,"artificial"
"fl1954",4,4.05405405405405,0,"artificial"
"fl1960",6,2.97619047619048,0,"artificial"
"fl197",6,2.7359781121751,0,"artificial"
"fl1976",4,2.72479564032698,0,"artificial"
"fl20",4,5.54016620498615,0,"artificial"
"fl2011",3,2.74977085242896,0,"artificial"
"fl2026",4,7.42942050520059,0,"artificial"
"fl2031",3,11.5384615384615,0,"artificial"
"fl2035",6,2.65957446808511,0,"artificial"
"fl2038",5,4.8721071863581,0,"artificial"
"fl2045",3,5.92885375494071,0,"artificial"
"fl2047",5,9.11854103343465,0,"artificial"
"fl2048",1,5.44069640914037,0,"artificial"
"fl2052",2,5.81395348837209,0,"artificial"
"fl2065",4,5.54016620498615,0,"artificial"
"fl2075",9,1.44404332129964,0,"artificial"
"fl2077",2,6.7842605156038,0,"artificial"
"fl2080",1,4.77326968973747,0,"artificial"
"fl2085",3,8.06451612903226,0,"artificial"
"fl2087",1,12.3456790123457,0,"artificial"
"fl21",2,9.61538461538461,0,"artificial"
"fl2107",4,6.78733031674208,0,"artificial"
"fl2110",4,5.54016620498615,0,"artificial"
"fl2112",2,6.09756097560976,0,"artificial"
"fl2116",3,5.37634408602151,0,"artificial"
"fl2118",2,6.7842605156038,0,"artificial"
"fl2119",2,5.81395348837209,0,"artificial"
"fl2125",3,5.37634408602151,0,"artificial"
"fl2131",2,5.81395348837209,0,"artificial"
"fl2132",2,4.70588235294118,0,"artificial"
"fl2149",2,3.80228136882129,0,"artificial"
"fl2150",5,6.78733031674208,0,"artificial"
"fl2154",2,4.70588235294118,0,"artificial"
"fl2160",4,7.42942050520059,0,"artificial"
"fl2176",3,3.05810397553517,0,"artificial"
"fl2180",2,6.09756097560976,0,"artificial"
"fl2182",2,4.70588235294118,0,"artificial"
"fl2186",4,5.37634408602151,0,"artificial"
"fl220",8,2.01072386058981,0,"artificial"
"fl2228",1,7.05882352941176,0,"artificial"
"fl2230",2,3.80228136882129,0,"artificial"
"fl2240",3,8.06451612903226,0,"artificial"
"fl2244",6,2.00400801603206,0,"artificial"
"fl2248",1,5.44069640914037,0,"artificial"
"fl225",2,4.19287211740042,0,"artificial"
"fl2250",3,4.84261501210654,0,"artificial"
"fl2254",4,4.8721071863581,0,"artificial"
"fl2299",1,4.77326968973747,0,"artificial"
"fl23",6,6.75675675675676,0,"artificial"
"fl2339",4,9.75609756097561,0,"artificial"
"fl2351",2,6.7842605156038,0,"artificial"
"fl2353",4,7.42942050520059,0,"artificial"
"fl2371",3,7.64818355640535,0,"artificial"
"fl2372",5,3.38983050847458,0,"artificial"
"fl2377",2,10.2040816326531,0,"artificial"
"fl2380",2,3.80228136882129,0,"artificial"
"fl2383",8,2.43605359317905,0,"artificial"
"fl239",5,6.78733031674208,0,"artificial"
"fl2396",4,6.13496932515337,0,"artificial"
"fl2408",4,4.17536534446764,0,"artificial"
"fl2413",4,4.90196078431372,0,"artificial"
"fl2415",3,5.37634408602151,0,"artificial"
"fl2437",3,11.1731843575419,0,"artificial"
"fl2446",6,3.51906158357771,0,"artificial"
"fl2451",7,2.54452926208651,0,"artificial"
"fl2452",5,6.78733031674208,0,"artificial"
"fl2473",5,5.87084148727984,0,"artificial"
"fl2474",2,4.70588235294118,0,"artificial"
"fl2487",2,10.2040816326531,0,"artificial"
"fl25",2,4.32900432900433,0,"artificial"
"fl2516",3,6.81431005110733,0,"artificial"
"fl2521",3,11.1731843575419,0,"artificial"
"fl2526",2,5.44069640914037,0,"artificial"
