"LANG","complexityoflanguages","costoflanguages","syn_index","type"
"fl1294",3,3.05810397553517,0,"Haspel-ok"
"fl1295",21,3.07929176289453,8,"Haspel-ok"
"fl1296",9,3.24836453868712,7,"Haspel-ok"
"fl1297",3,3.24543610547667,1,"Haspel-ok"
"fl1298",6,3.65463682046597,1,"Haspel-ok"
"fl1299",14,2.53453301229248,9,"Haspel-ok"
"fl13",3,3.05810397553517,0,"Haspel-ok"
"fl130",7,3.55450236966825,1,"Haspel-ok"
"fl1300",19,2.62443273979843,10,"Haspel-ok"
"fl1301",2,5.81395348837209,0,"Haspel-ok"
"fl1302",19,2.74595353236411,13,"Haspel-ok"
"fl1303",17,3.06363423611259,6,"Haspel-ok"
"fl1304",19,2.37702211951139,11,"Haspel-ok"
"fl1305",12,2.71042497204874,8,"Haspel-ok"
"fl1306",2,4.36046511627907,0,"Haspel-ok"
"fl1307",16,1.8754884084397,6,"Haspel-ok"
"fl1308",5,2.95566502463054,1,"Haspel-ok"
"fl1309",15,2.96892524905984,11,"Haspel-ok"
"fl131",14,2.32288037166086,3,"Haspel-ok"
"fl1310",18,2.05567451820128,9,"Haspel-ok"
"fl1311",9,2.17292892711634,3,"Haspel-ok"
"fl1312",10,3.32917186849771,6,"Haspel-ok"
"fl1313",4,4.19531523132502,5,"Haspel-ok"
"fl1314",14,3.72468378986576,7,"Haspel-ok"
"fl1315",15,2.64744815414031,7,"Haspel-ok"
"fl1316",22,2.64120350839866,12,"Haspel-ok"
"fl1317",7,3.13534227486501,4,"Haspel-ok"
"fl1318",9,3.5799522673031,2,"Haspel-ok"
"fl1319",13,2.5291555430659,7,"Haspel-ok"
"fl132",4,4.90196078431372,0,"Haspel-ok"
"fl1320",18,2.2526750516238,4,"Haspel-ok"
"fl1321",1,7.05882352941176,0,"Haspel-ok"
"fl1322",12,3.05810397553517,9,"Haspel-ok"
"fl1323",1,5.44069640914037,0,"Haspel-ok"
"fl1324",5,4.4709388971684,0,"Haspel-ok"
"fl1325",19,2.80898876404494,7,"Haspel-ok"
"fl1326",2,4.88400488400488,4,"Haspel-ok"
"fl1327",17,3.43995604500609,14,"Haspel-ok"
"fl1328",3,3.05810397553517,0,"Haspel-ok"
"fl1329",3,8.65800865800866,0,"Haspel-ok"
"fl133",17,2.50104210087536,6,"Haspel-ok"
"fl1330",21,1.96618167518679,5,"Haspel-ok"
"fl1331",14,2.54587885859765,7,"Haspel-ok"
"fl1332",6,5.68181818181818,2,"Haspel-ok"
"fl1333",25,2.56004551192021,11,"Haspel-ok"
"fl1334",6,4.12825099766066,3,"Haspel-ok"
"fl1335",5,3.38983050847458,0,"Haspel-ok"
"fl1336",13,3.5254093881652,15,"Haspel-ok"
"fl1337",2,5.20156046814044,0,"Haspel-ok"
"fl1338",22,2.13143872113677,6,"Haspel-ok"
"fl1339",7,3.12581401406616,3,"Haspel-ok"
"fl134",9,2.17627856365615,1,"Haspel-ok"
"fl1340",14,3.76687244951345,5,"Haspel-ok"
"fl1341",18,2.53512200274638,9,"Haspel-ok"
"fl1342",7,2.48756218905473,4,"Haspel-ok"
"fl1343",17,2.1505376344086,7,"Haspel-ok"
"fl1344",12,2.85612281328097,5,"Haspel-ok"
"fl1345",15,3.6382930341848,12,"Haspel-ok"
"fl1346",2,3.80228136882129,0,"Haspel-ok"
"fl1347",7,2.94840294840295,0,"Haspel-ok"
"fl1348",5,4.89416370977609,4,"Haspel-ok"
"fl1349",20,3.15494735181607,15,"Haspel-ok"
"fl135",4,2.77008310249307,0,"Haspel-ok"
"fl1350",21,2.47816120438635,11,"Haspel-ok"
"fl1351",9,3.30305532617671,3,"Haspel-ok"
"fl1352",7,1.97044334975369,0,"Haspel-ok"
"fl1353",10,3.69571912534647,4,"Haspel-ok"
"fl1354",20,3.01207843452243,15,"Haspel-ok"
"fl1355",22,3.0627089660805,16,"Haspel-ok"
"fl1356",4,11.1731843575419,0,"Haspel-ok"
"fl1357",6,2.924689251767,3,"Haspel-ok"
"fl1358",12,2.61437908496732,7,"Haspel-ok"
"fl1359",15,2.83326250177079,8,"Haspel-ok"
"fl136",11,2.9429797670141,3,"Haspel-ok"
"fl1360",16,2.95010632674886,14,"Haspel-ok"
"fl1361",2,4.70588235294118,0,"Haspel-ok"
"fl1362",10,2.63196373738851,5,"Haspel-ok"
"fl1363",12,4.03897935632773,21,"Haspel-ok"
"fl1364",8,3.29398847104035,3,"Haspel-ok"
"fl1365",14,2.03899579457117,6,"Haspel-ok"
"fl1366",15,2.94924835128825,5,"Haspel-ok"
"fl1367",12,2.36220472440945,3,"Haspel-ok"
"fl1368",8,2.36546422235364,2,"Haspel-ok"
"fl1369",3,3.05810397553517,0,"Haspel-ok"
"fl137",7,2.77200277200277,1,"Haspel-ok"
"fl1370",3,3.05810397553517,0,"Haspel-ok"
"fl1371",14,2.19038057862554,5,"Haspel-ok"
