"LANG","complexityoflanguages","costoflanguages","syn_index","type","minimal"
"fl5942",15,2.86772613215438,11,"Not Haspel-ok",1.81445701935143
"fl5993",15,3.40583343582369,11,"Not Haspel-ok",2.35254894739948
"fl6015",19,3.76608431844335,11,"Not Haspel-ok",2.76994888793462
"fl6017",19,3.02590934879909,11,"Not Haspel-ok",2.02978601995072
"fl6044",15,3.2555615843733,11,"Not Haspel-ok",2.20228063359171
"fl6045",25,2.7078357998458,11,"Not Haspel-ok",1.76405014989108
"fl6137",17,2.46781557191626,11,"Not Haspel-ok",1.44659705296246
"fl6177",19,3.47574221578566,11,"Not Haspel-ok",2.47961067113013
"fl6254",14,3.35593931343075,11,"Not Haspel-ok",2.28325563945042
"fl6295",14,3.37964701464514,11,"Not Haspel-ok",2.30695234776338
"fl6320",14,3.44644370090613,11,"Not Haspel-ok",2.37371924205423
"fl6335",14,3.75351892399124,11,"Not Haspel-ok",2.6806766039198
"fl6563",19,2.7078357998458,11,"Not Haspel-ok",1.71172088647839
"fl6616",19,2.68216361198033,11,"Not Haspel-ok",1.6860495163152
"fl6622",28,2.90856207962189,11,"Not Haspel-ok",1.98074881437253
"fl6627",14,3.37059715746306,11,"Not Haspel-ok",2.29790666010184
"fl6659",16,2.8380535682611,11,"Not Haspel-ok",1.80174214283994
"fl6801",23,2.83346320039669,11,"Not Haspel-ok",1.87408976828945
"fl6820",20,3.50375193436305,11,"Not Haspel-ok",2.51878932814661
"fl6852",17,2.3084025854109,11,"Not Haspel-ok",1.28728458660209
"fl6885",19,2.88600288600289,11,"Not Haspel-ok",1.88988290979152
"fl6902",15,3.33722676455865,11,"Not Haspel-ok",2.28394383349692
"fl6907",22,2.80685340038594,11,"Not Haspel-ok",1.83956606631397
"fl6910",19,3.4806485608485,11,"Not Haspel-ok",2.48451694298395
"fl6913",19,3.00048757923163,11,"Not Haspel-ok",2.00436482478049
"fl6927",10,4.3525571273123,11,"Not Haspel-ok",3.16211635597228
"fl6928",22,2.66341138608368,11,"Not Haspel-ok",1.69614920514788
"fl6950",17,3.49472151437932,11,"Not Haspel-ok",2.4731659915979
"fl7016",8,3.99294579576082,11,"Not Haspel-ok",2.6984808004209
"fl7163",22,2.56227758007117,11,"Not Haspel-ok",1.59503585240824
"fl7192",23,2.82237832413447,11,"Not Haspel-ok",1.86300515685978
"fl7205",25,3.25115144947169,11,"Not Haspel-ok",2.30688988168588
"fl7268",13,3.39903221999292,11,"Not Haspel-ok",2.30388959521615
"fl7273",24,2.82788102161915,11,"Not Haspel-ok",1.87730833987989
"fl7370",13,3.05285250906316,11,"Not Haspel-ok",1.95777865686086
"fl7399",19,2.87953927371621,11,"Not Haspel-ok",1.88341946443224
"fl7434",20,2.55159900204128,11,"Not Haspel-ok",1.56682899917132
"fl7505",21,2.86184445875367,11,"Not Haspel-ok",1.88638967362149
"fl7514",16,3.48179312345858,11,"Not Haspel-ok",2.4452997226329
"fl7558",17,3.34533627599024,11,"Not Haspel-ok",2.3238112680304
"fl7574",15,4.30750822614418,11,"Not Haspel-ok",3.254079004608
"fl7627",15,3.70050573578389,11,"Not Haspel-ok",2.6472154762653
"fl7656",18,3.40909090909091,11,"Not Haspel-ok",2.40077572712832
"fl7662",14,4.31119653667212,11,"Not Haspel-ok",3.23819731979442
"fl7676",25,2.4007602407429,11,"Not Haspel-ok",1.45740046488727
"fl7684",20,2.80767430978007,11,"Not Haspel-ok",1.82283272917914
"fl7716",22,2.86482787159205,11,"Not Haspel-ok",1.89753145046055
"fl7817",24,2.65770920231811,11,"Not Haspel-ok",1.70733981907464
"fl7827",19,3.30250990752972,11,"Not Haspel-ok",2.3063811473696
"fl7841",14,3.20798431652112,11,"Not Haspel-ok",2.13537476086918
"fl7845",25,2.63066552184,11,"Not Haspel-ok",1.68697232156906
"fl7847",20,2.68529665814831,11,"Not Haspel-ok",1.70048659527018
"fl7888",16,4.23990813532373,11,"Not Haspel-ok",3.20329420223785
"fl7966",14,3.51288056206089,11,"Not Haspel-ok",2.44012808927415
"fl7972",16,3.56061954780132,11,"Not Haspel-ok",2.52411024191453
"fl7978",19,2.96259721022096,11,"Not Haspel-ok",1.96647533945446
"fl8102",23,2.8243601059135,11,"Not Haspel-ok",1.86498689106029
"fl8106",16,2.85408490902604,11,"Not Haspel-ok",1.81776738709101
"fl8148",18,3.41394025604552,11,"Not Haspel-ok",2.40562486512146
"fl8198",21,2.21475766859843,11,"Not Haspel-ok",1.23945783904796
"fl8202",20,3.13573827037903,11,"Not Haspel-ok",2.15082989113802
"fl8203",19,3.39914454862193,11,"Not Haspel-ok",2.40301418566779
"fl8208",21,2.31288146482493,11,"Not Haspel-ok",1.33754849520895
"fl8213",13,4.34861387932596,11,"Not Haspel-ok",3.25321637550704
